filename,width,height,class,xmin,ymin,xmax,ymax
img1.jpg,276,183,leaf,164,28,180,45
img1.jpg,276,183,leaf,241,71,261,79
img1.jpg,276,183,leaf,198,18,210,34
img2.jpg,1128,1500,Fruit waste,4,1,1128,1248
img8.jpg,1200,630,Fruit waste,243,5,928,618
img3.jpg,900,900,Fruit waste,239,166,666,660
img9.jpg,1300,866,Fruit waste,129,139,1069,634
img6.jpg,785,800,Fruit waste,131,71,702,767
img7.jpg,275,183,leaf,117,35,190,119
img7.jpg,275,183,leaf,217,53,272,125
img7.jpg,275,183,leaf,3,62,43,132
img7.jpg,275,183,leaf,85,102,114,158
img5.jpg,800,533,Fruit waste,140,109,655,429
img4.jpg,259,194,leaf,61,148,81,170
img4.jpg,259,194,leaf,218,119,238,146
img4.jpg,259,194,leaf,240,56,253,69
img4.jpg,259,194,leaf,5,109,37,138
img10.jpg,1300,866,Fruit waste,84,253,881,766
img11.jpg,1300,1012,Fruit waste,141,120,1186,901
img13.jpg,1007,1300,Fruit waste,155,133,833,1167
img14.jpg,1300,1300,Fruit waste,211,98,1089,1195
img20.jpg,256,197,leaf,78,82,160,152
img20.jpg,256,197,leaf,1,63,47,147
img15.jpg,250,285,Fruit waste,29,1,223,271
img17.jpg,1024,681,Fruit waste,246,90,718,540
img16.jpg,214,320,Fruit waste,1,17,214,204
img18.jpg,275,183,leaf,72,82,132,120
img12.jpg,1300,898,Fruit waste,150,115,1145,716
img19.jpg,282,179,leaf,154,69,238,159
img19.jpg,282,179,leaf,34,4,120,119
img21.jpg,3648,3762,Fruit waste,758,349,2834,3205
img29.jpg,694,383,Fruit waste,159,1,606,380
img23.jpg,720,810,Fruit waste,67,25,586,783
img24.jpg,274,184,Fruit waste,39,45,273,184
img28.jpg,1024,768,plain paper,180,76,845,631
img22.jpg,683,1024,Fruit waste,138,349,585,853
img30.jpg,1200,900,Fruit waste,1,27,1200,888
img26.jpg,267,189,plain paper,49,63,266,182
img27.jpg,450,468,plain paper,45,25,397,428
img25.jpg,245,206,plain paper,25,23,217,167
img31.jpg,694,383,Fruit waste,163,1,607,383
img40.jpg,1135,1300,Fruit waste,161,69,998,1206
img33.jpg,1296,728,Fruit waste,230,76,999,424
img33.jpg,1296,728,Fruit waste,276,427,1125,614
img36.jpg,615,418,Fruit waste,72,7,352,410
img35.jpg,600,401,Fruit waste,250,27,551,361
img34.jpg,1049,699,Fruit waste,131,132,518,534
img34.jpg,1049,699,Fruit waste,538,79,1010,522
img37.jpg,1024,1024,Fruit waste,338,199,690,823
img38.jpg,428,450,Fruit waste,63,62,350,401
img32.jpg,480,360,Fruit waste,1,82,473,250
img39.jpg,926,1300,Fruit waste,114,110,874,1112
img41.jpg,1010,1300,Fruit waste,176,223,869,1026
img47.jpg,254,198,paper,18,17,123,163
img47.jpg,254,198,plain paper,18,17,123,162
img47.jpg,254,198,plain paper,132,16,237,162
img46.jpg,240,210,paper,32,9,234,190
img49.jpg,275,183,Fruit waste,137,29,245,156
img44.jpg,800,719,Fruit waste,135,94,681,621
img43.jpg,0,0,Fruit waste,37,12,267,262
img42.jpg,728,772,Fruit waste,8,4,708,748
img48.jpg,278,181,Fruit waste,157,28,259,135
img45.jpg,800,857,Fruit waste,173,107,646,743
img50.jpg,179,281,Fruit waste,49,79,116,125
img51.jpg,275,184,Fruit waste,108,16,255,171
img52.jpg,286,176,Fruit waste,30,59,132,162
img55.jpg,299,169,Fruit waste,13,1,276,142
img53.jpg,262,192,Fruit waste,70,42,164,133
img57.jpg,273,185,Fruit waste,22,16,262,175
img58.jpg,275,183,Fruit waste,10,4,273,105
img54.jpg,265,190,Fruit waste,21,14,244,152
img59.jpg,275,183,leaf,4,74,149,178
img60.jpg,259,194,leaf,97,99,175,167
img56.jpg,275,183,Fruit waste,13,44,256,149
img61.jpg,275,183,leaf,42,9,202,92
img67.jpg,262,192,leaf,140,134,162,154
img67.jpg,262,192,leaf,149,22,160,34
img70.jpg,225,224,Fruit waste,39,21,181,195
img65.jpg,275,183,leaf,155,114,214,139
img65.jpg,275,183,leaf,229,92,267,123
img65.jpg,275,183,leaf,23,119,65,137
img65.jpg,275,183,leaf,83,101,118,133
img64.jpg,287,175,leaf,38,98,51,118
img64.jpg,287,175,leaf,181,120,193,140
img64.jpg,287,175,leaf,104,70,111,82
img62.jpg,281,179,leaf,108,49,168,120
img68.jpg,253,199,leaf,19,56,94,92
img68.jpg,253,199,leaf,194,80,238,157
img68.jpg,253,199,leaf,134,3,182,26
img69.jpg,222,227,Fruit waste,39,21,199,216
img66.jpg,191,264,leaf,142,212,171,229
